date,player_a,player_b,score_a,score_b
2024-12-15,Brent Read,Beau Young,5,3
2024-12-15,Adam McMackin,Dene Heremaia,5,4
2024-12-15,Dallas Aitken,Michael Bonney,5,2
2024-12-15,Steve Halliday,Jase Cattermoul,5,1
2024-12-15,Duain Bauer,Paul Pike,3,5
2024-12-15,Mick Gray,Brendan Kantor,5,3
2024-12-15,Sean Dempsey,Barry Scarborough,5,4
2024-12-15,Marcus Schubert,Cameron Cleland,5,0
2024-12-15,Justin Sajich,Dave Staver,5,0
2024-12-15,Cooper Hawley,Dustin Budd,5,2
2024-12-15,Chris Snare,Joshua Hands,3,5
2024-12-15,Alex Kingsbury,Joe Hughes,5,1
2024-12-15,Ash Pilgram,Joshua Hart,4,5
2024-12-15,Neil Van Klaveran,Peter Geffert,5,2
2024-12-15,Peter Watt,Mike Chiswell,5,2
2024-12-15,Nathan Keogh,Honni Campbell,5,0
2024-12-15,Rusty Wheeler,Ryan Feeken,5,2
2024-12-15,Jay Windross,Adam Farrell,5,0
2024-12-15,Brett Broderick,Kerri Collins,5,0
2024-12-15,Aaron James,Rhys Daly,2,5
2024-12-15,Nick Pilat,Blayde Olsen,4,5
2024-12-15,John Pettinato,Alan Talbot,5,1
2024-12-15,Vijay Randall,Shaun Lorenz,5,4
2024-12-15,Scott Denston,Greg Segal,2,5
2024-12-15,Craig Stevens,Trent Bichel,5,1
2024-12-15,Graham Moody,Jackson Agale,1,5
2024-12-15,Luber Giraldo,Sue McCord,5,4
2024-12-15,Rocki Huni,Xavier Daw,0,5
2024-12-15,Ben Middleton,Brendan Bell,5,2
2024-12-15,Jayden Dinga,Shawn O'Reilly,5,2
2024-12-15,Jayme White,Lucas Fenech,5,4
2024-12-15,Len Stein,Jimmy Flynn,5,1
2024-12-15,Jayden Dinga,Mick Gray,5,0
2024-12-15,Jackson Agale,Craig Stevens,1,5
2024-12-15,Jayme White,Cooper Hawley,5,2
2024-12-15,Rhys Daly,Sean Dempsey,2,5
2024-12-15,Xavier Daw,Blayde Olsen,5,4
2024-12-15,Ben Middleton,Nathan Keogh,5,2
2024-12-15,Rusty Wheeler,Joshua Hands,3,5
2024-12-15,Alex Kingsbury,John Pettinato,5,3
2024-12-15,Jay Windross,Peter Watt,5,3
2024-12-15,Steve Halliday,Dallas Aitken,5,1
2024-12-15,Justin Sajich,Brent Read,3,5
2024-12-15,Paul Pike,Brett Broderick,2,5
2024-12-15,Greg Segal,Marcus Schubert,5,2
2024-12-15,Neil Van Klaveran,Luber Giraldo,5,4
2024-12-15,Vijay Randall,Joshua Hart,5,4
2024-12-15,Adam McMackin,Len Stein,5,1
2024-12-15,Brent Read,Alex Kingsbury,6,3
2024-12-15,Brett Broderick,Greg Segal,6,5
2024-12-15,Jayme White,Joshua Hands,6,5
2024-12-15,Sean Dempsey,Craig Stevens,6,3
2024-12-15,Xavier Daw,Jay Windross,6,5
2024-12-15,Neil Van Klaveran,Jayden Dinga,0,6
2024-12-15,Steve Halliday,Vijay Randall,1,6
2024-12-15,Adam McMackin,Ben Middleton,6,5
2024-12-15,Brett Broderick,Jayme White,3,6
2024-12-15,Jayden Dinga,Sean Dempsey,0,6
2024-12-15,Brent Read,Xavier Daw,5,6
2024-12-15,Adam McMackin,Vijay Randall,5,6
2024-12-15,Xavier Daw,Vijay Randall,7,1
2024-12-15,Jayme White,Sean Dempsey,6,7
2024-12-15,Xavier Daw,Sean Dempsey,7,6
