date,player_a,player_b,score_a,score_b
2023-10-18,Daniel Graetz,Chris Davis,0,4
2023-10-18,Ian Hinton,Joseph Rennie,4,3
2023-10-18,Jon Carver,Erik Westerholm,1,4
2023-10-18,Andrew Heaton,Phillip Thorp,4,1
2023-10-18,Brett Broderick,Kris Cherry,4,2
2023-10-18,Luke Rokovada,Josh Flowers,4,1
2023-10-18,Stone Stenhouse,Jacob Marshall,2,4
2023-10-18,Murray Jeffries,Craig Stevens,2,4
2023-10-18,Damian Tutin,Mick Sewell,4,1
2023-10-18,Aaron Cross,Kristian Lindsay,4,1
2023-10-18,Stephen Reid,Dinesh Sookgreep,1,4
2023-10-18,Marc Robertson,Chris Davis,4,2
2023-10-18,Matt McConville,Blake Rawlings,1,4
2023-10-18,Alex Kingsbury,Trai Chan,4,2
2023-10-18,Rhys Daly,Greg Allison,4,1
2023-10-18,Chris Beagley,Matthew Gartrell,4,0
2023-10-18,Danyal Porter,Travis Martin,4,0
2023-10-18,Travis Crawley,Josh Hands,2,4
2023-10-18,Blake Weaver,Micky Lennon,4,3
2023-10-18,Paull Clack,Ian Hinton,4,2
2023-10-18,Toby Clack,Anders Jones,4,0
2023-10-18,Gus Di Giorgio,Macwin Fernandes,2,4
2023-10-18,Tony Quach,Jake Persello,1,4
2023-10-18,Michael Scerri,Erik Westerholm,4,1
2023-10-18,Maitland Smith,Jeff Gluyas,0,4
2023-10-18,Barry Kitchener Jnr,Nathan Van Rheede,4,0
2023-10-18,Jake McCartney,Cooper Denmen,4,3
2023-10-18,Alec Evreniadis,Andrew Heaton,4,0
2023-10-18,David Kelliher,Bradley Russell,4,2
2023-10-18,Justin Stubbs,Luke Yancic,4,1
2023-10-18,Peter Kalwy,Jamie Stacey,1,4
2023-10-18,Brent Read,Simon Gray,4,2
2023-10-18,Ron Callander,Chris Coffey,4,2
2023-10-18,Greg Segal,Decoda Cook,4,0
2023-10-18,Ryan Smidt,Matt Power,2,4
2023-10-18,Michael Cacciola,Brett Broderick,2,4
2023-10-18,Adam Dunn,Malachy McNeill,1,4
2023-10-18,Rob Bowen,Mat Young,4,0
2023-10-18,Aaron Cedric Gonzales,Joe Watkins,4,2
2023-10-18,Rusty Wheeler,Riley O'Shea,4,0
2023-10-18,Mark Suhr,Jacob Dunn,2,4
2023-10-18,Andy Barnett,Bailey Noblett,4,0
2023-10-18,Ty Hodgetts,Ben Crawley,1,4
2023-10-18,Justin Sajich,Luke Rokovada,4,0
2023-10-18,Justin Kennedy,Aidan Stafford,4,3
2023-10-18,Luke Anglesey,Nathan Charles,4,1
2023-10-18,Sean Dempsey,Ryan Betts,3,4
2023-10-18,Stacey Vine,Brendan O'Brien,4,1
2023-10-18,Jakk Phillips,Jason Yu,3,4
2023-10-18,Steve Saxon,Marchi Hami,4,2
2023-10-18,Andrew Fidge,Jacob Roberts,4,3
2023-10-18,Cale Barrett,Jacob Marshall,4,1
2023-10-18,Blake Marshall,Morgan Evans,4,3
2023-10-18,Clint Kappler,Nicholas Edlinger,4,0
2023-10-18,Alex Brooks,Nick Pilat,4,1
2023-10-18,Ben Foster,Craig Stevens,3,4
2023-10-18,William Kossack,Corey Mansson,4,1
2023-10-18,Michael Hayes,Nick Lynch,0,4
2023-10-18,Scott Parker,John Cloudy,4,2
2023-10-18,Dave Ewing,Damian Tutin,4,3
2023-10-18,Kyle Thomson,Adam Symonds,4,0
2023-10-18,Blair Kirkcaldy,Colin Gamble,4,3
2023-10-18,Ethan Brown,Brendan Kantor,3,4
2023-10-18,Mandar Ranganekar,Dave Collingridge,4,3
2023-10-18,Dean Welsh,Sam Hill,4,0
2023-10-18,Ben Nunan,Brett Green,4,3
2023-10-18,Nathan Miller,Jack Crawley,4,0
2023-10-18,Luke Foster,Aaron Cross,4,0
2023-10-18,Albert Waqaicelua,Keegan Reid,0,4
2023-10-18,Nathan McMahon,Shayden Brown,4,1
2023-10-18,Kane Weekley,Kurt Elliott,4,0
2023-10-18,Jayden Domeika,Dinesh Sookgreep,4,1
2023-10-18,Scott Coburn,Ben Adams,4,2
2023-10-18,Matt Harmon,David Wilson,4,2
2023-10-18,Ben Judge,Ruel Dancel,1,4
2023-10-19,Marc Robertson,Blake Rawlings,4,1
2023-10-19,Alex Kingsbury,Rhys Daly,0,4
2023-10-19,Chris Beagley,Danyal Porter,1,4
2023-10-19,Josh Hands,Blake Weaver,4,0
2023-10-19,Paull Clack,Toby Clack,4,3
2023-10-19,Macwin Fernandes,Jake Persello,4,2
2023-10-19,Michael Scerri,Jeff Gluyas,4,0
2023-10-19,Barry Kitchener Jnr,Jake McCartney,4,1
2023-10-19,Alec Evreniadis,David Kelliher,4,0
2023-10-19,Justin Stubbs,Jamie Stacey,4,1
2023-10-19,Brent Read,Ron Callander,4,1
2023-10-19,Greg Segal,Matt Power,4,3
2023-10-19,Brett Broderick,Malachy McNeill,4,1
2023-10-19,Rob Bowen,Aaron Cedric Gonzales,4,3
2023-10-19,Rusty Wheeler,Jacob Dunn,3,4
2023-10-19,Andy Barnett,Ben Crawley,1,4
2023-10-19,Justin Sajich,Justin Kennedy,2,4
2023-10-19,Luke Anglesey,Ryan Betts,4,0
2023-10-19,Stacey Vine,Jason Yu,4,1
2023-10-19,Steve Saxon,Andrew Fidge,4,2
2023-10-19,Cale Barrett,Blake Marshall,4,1
2023-10-19,Clint Kappler,Alex Brooks,4,1
2023-10-19,Craig Stevens,William Kossack,4,2
2023-10-19,Nick Lynch,Scott Parker,1,4
2023-10-19,Dave Ewing,Kyle Thomson,3,4
2023-10-19,Blair Kirkcaldy,Brendan Kantor,4,1
2023-10-19,Mandar Ranganekar,Dean Welsh,4,1
2023-10-19,Ben Nunan,Nathan Miller,4,0
2023-10-19,Luke Foster,Keegan Reid,4,1
2023-10-19,Nathan McMahon,Kane Weekley,1,4
2023-10-19,Jayden Domeika,Scott Coburn,4,1
2023-10-19,Matt Harmon,Ruel Dancel,4,0
2023-10-19,Marc Robertson,Rhys Daly,5,3
2023-10-19,Danyal Porter,Josh Hands,5,3
2023-10-19,Paull Clack,Macwin Fernandes,5,4
2023-10-19,Michael Scerri,Barry Kitchener Jnr,3,5
2023-10-19,Alec Evreniadis,Justin Stubbs,5,4
2023-10-19,Brent Read,Greg Segal,5,3
2023-10-19,Brett Broderick,Rob Bowen,2,5
2023-10-19,Jacob Dunn,Ben Crawley,5,2
2023-10-19,Justin Kennedy,Luke Anglesey,3,5
2023-10-19,Stacey Vine,Steve Saxon,5,0
2023-10-19,Cale Barrett,Clint Kappler,5,4
2023-10-19,Craig Stevens,Scott Parker,5,1
2023-10-19,Kyle Thomson,Blair Kirkcaldy,5,1
2023-10-19,Mandar Ranganekar,Ben Nunan,4,5
2023-10-19,Luke Foster,Kane Weekley,5,1
2023-10-19,Jayden Domeika,Matt Harmon,5,2
2023-10-21,Marc Robertson,Danyal Porter,6,1
2023-10-21,Paull Clack,Barry Kitchener Jnr,6,3
2023-10-21,Alec Evreniadis,Brent Read,6,4
2023-10-21,Rob Bowen,Jacob Dunn,6,3
2023-10-21,Luke Anglesey,Stacey Vine,6,4
2023-10-21,Cale Barrett,Craig Stevens,3,6
2023-10-21,Kyle Thomson,Ben Nunan,6,4
2023-10-21,Luke Foster,Jayden Domeika,6,1
2023-10-24,Marc Robertson,Paull Clack,7,6
2023-10-24,Alec Evreniadis,Rob Bowen,6,7
2023-10-24,Luke Anglesey,Craig Stevens,7,6
2023-10-24,Kyle Thomson,Luke Foster,2,7
2023-10-24,Marc Robertson,Rob Bowen,8,6
2023-10-24,Luke Anglesey,Luke Foster,8,6
2023-10-26,Marc Robertson,Luke Anglesey,3,9
