date,player_a,player_b,score_a,score_b
2023-12-17,Shannon Irwin,Jase Cattermoul,3,5
2023-12-17,John Pettinato,Trent Bichel,4,5
2023-12-17,Pat Broderick,Michelle Goonan,5,3
2023-12-17,Sterling Cross,Matt Fahey,5,3
2023-12-17,John Wheeler,Neil Armstrong,5,1
2023-12-17,Mike Stone,Chris Furner,5,1
2023-12-17,Bennon Anderson,Cooper Hawley,5,2
2023-12-17,Michael Bonney,Jason Rose,5,3
2023-12-17,Sean Dempsey,Adam McMackin,5,2
2023-12-17,Robert Hickfuss,Joe Hughes,5,1
2023-12-17,Greg Segal,Luber Giraldo,5,2
2023-12-17,Jayden Dinga,Emily Stevens,5,1
2023-12-17,Shaun Lorenz,Shawn O'Reilly,5,2
2023-12-17,Mick Gray,Richard Dempsey,5,4
2023-12-17,Andy Barnett,Ash Pilgrim,5,2
2023-12-17,Josh Hands,Marcus Osborne,5,2
2023-12-17,Josh Craze,Scott Farnworth,5,4
2023-12-17,Scott Denston,Duain Bauer,1,5
2023-12-17,Vince Lee,Lenny Stein,1,5
2023-12-17,Jay Windross,Geoff Gannon,3,5
2023-12-17,Dan Moore,Sue McCord,5,0
2023-12-17,Dene Heremaia,James Buchanan,5,3
2023-12-17,Xavier Daw,Vijay Randall,3,5
2023-12-17,Kyle Thomson,Rhys Ferguson,5,0
2023-12-17,Beau Young,Brendan Hodges,5,3
2023-12-17,Reilly Moore,Devlen Brown,4,5
2023-12-17,Brendan Kantor,Ciaran Dempsey,5,1
2023-12-17,Sam Taylor,Ricky Walker,2,5
2023-12-17,Shannon Purcell,Brett Broderick,1,5
2023-12-17,Dave Brown,Lloyd Harragon,5,4
2023-12-17,Ben Middleton,Rick Ferguson,5,0
2023-12-17,Brent Read,Jamie Buettner,5,4
2023-12-17,Duain Bauer,Robert Hickfuss,4,5
2023-12-17,Vijay Randall,Ben Middleton,3,5
2023-12-17,Josh Craze,Mike Stone,5,2
2023-12-17,Dave Brown,Beau Young,0,5
2023-12-17,Bennon Anderson,Brett Broderick,2,5
2023-12-17,Mick Gray,Trent Bichel,5,2
2023-12-17,Dene Heremaia,Jase Cattermoul,3,5
2023-12-17,Geoff Gannon,Shaun Lorenz,4,5
2023-12-17,Devlen Brown,Lenny Stein,5,2
2023-12-17,Greg Segal,Jayden Dinga,5,3
2023-12-17,Andy Barnett,Sean Dempsey,5,3
2023-12-17,Sterling Cross,Brendan Kantor,4,5
2023-12-17,Ricky Walker,Josh Hands,3,5
2023-12-17,Pat Broderick,Dan Moore,4,5
2023-12-17,John Wheeler,Michael Bonney,5,1
2023-12-17,Kyle Thomson,Brent Read,3,5
2023-12-17,Ben Middleton,Devlen Brown,7,4
2023-12-17,Robert Hickfuss,Josh Craze,1,7
2023-12-17,Jase Cattermoul,Greg Segal,3,7
2023-12-17,Mick Gray,Shaun Lorenz,1,7
2023-12-17,Andy Barnett,Brent Read,7,2
2023-12-17,Brendan Kantor,Josh Hands,4,7
2023-12-17,Dan Moore,Brett Broderick,7,2
2023-12-17,John Wheeler,Beau Young,7,6
2023-12-17,Shaun Lorenz,Andy Barnett,1,7
2023-12-17,Ben Middleton,Josh Craze,7,3
2023-12-17,Josh Hands,John Wheeler,7,5
2023-12-17,Dan Moore,Greg Segal,7,1
2023-12-17,Ben Middleton,Dan Moore,7,5
2023-12-17,Josh Hands,Andy Barnett,4,7
2023-12-17,Andy Barnett,Ben Middleton,5,7
