date,player_a,player_b,score_a,score_b
2026-02-15,Temujin Dixon,Vic Opalicki,4,0
2026-02-15,Jack Green,Jamie Stevens,1,4
2026-02-15,Sean Dempsey,Jake McCartney,1,4
2026-02-15,Patrick Hood,Tim Liddell,4,2
2026-02-15,Jake McCartney,Toby Clack,4,1
2026-02-15,Jamie Stevens,Justin Sajich,2,4
2026-02-15,Ekky Lakthong,Michael Scerri,2,4
2026-02-15,Temujin Dixon,Patrick Hood,3,4
2026-02-15,Michael Scerri,Jake McCartney,5,3
2026-02-15,Justin Sajich,Patrick Hood,4,5
2026-02-15,Patrick Hood,Michael Scerri,6,5
