date,player_a,player_b,score_a,score_b
2024-10-19,Brendan D'Aquino,Steve Jamieson,1,5
2024-10-19,Mick Girvan,Kris Cherry,1,5
2024-10-19,Steve Shovan,Jordan Percy,5,4
2024-10-19,Dane Beeton,Chris Lilly,5,2
2024-10-19,Stone Stenhouse,Steve Jamieson,5,4
2024-10-19,Jeff Gluyas,Peter O'Keefe,5,4
2024-10-19,Nathan McMahon,Jamie Staines,5,1
2024-10-19,Craig Stevens,Corey Mansson,5,0
2024-10-19,Michael Hayes,Calum Mackay,5,1
2024-10-19,Matthew Diatschenko,Sam Cullen,5,0
2024-10-19,Luke Anglesey,Sam Taylor,3,5
2024-10-19,Macwin Fernandes,Bradley Beveridge,5,3
2024-10-19,Jayden Domeika,Kris Cherry,5,0
2024-10-19,Ben Judge,Wayne Gilmour,5,2
2024-10-19,Brent Read,Brad Abdilla,5,1
2024-10-19,Jack Hunter,Andrew Luu,5,0
2024-10-19,Paull Clack,Josh Gorski,4,5
2024-10-19,David Lynton,Daniel Podgorski,0,5
2024-10-19,Travis Crawley,Jack Crawley,5,3
2024-10-19,William Kossack,Erik Westerholm,5,1
2024-10-19,Andy Barnett,Steve Shovan,5,1
2024-10-19,Jacob Marshall,Jonathan Wilkins,5,1
2024-10-19,Steve Saxon,Charles Huang,5,0
2024-10-19,Blair Kirkcaldy,Tim Olencewicz,5,3
2024-10-19,Rob Bowen,Rhys Goddem,5,3
2024-10-19,Jakk Phillips,Brenton Collier,4,5
2024-10-19,Mandar Ranganekar,Ron Kelly,0,5
2024-10-19,Scott Parker,Aaron James,5,1
2024-10-19,Luke Foster,Dane Beeton,5,1
2024-10-19,Jay Windross,Jordan Boyd,5,4
2024-10-19,Chris Beagley,James Hammond,5,3
2024-10-19,Chris Davis,Micky Lennon,5,4
2024-10-19,Cale Barrett,Chris Brett,5,0
2024-10-19,Brendan Kantor,Scott Easton,5,0
2024-10-19,Ben Foster,Matt Pisano,5,2
2024-10-19,Joseph Rennie,Scott Coburn,5,0
2024-10-19,Stone Stenhouse,Jeff Gluyas,6,2
2024-10-19,Nathan McMahon,Craig Stevens,6,2
2024-10-19,Michael Hayes,Matthew Diatschenko,6,2
2024-10-19,Sam Taylor,Macwin Fernandes,2,6
2024-10-19,Jayden Domeika,Ben Judge,6,1
2024-10-19,Brent Read,Jack Hunter,6,4
2024-10-19,Josh Gorski,Daniel Podgorski,6,2
2024-10-19,Travis Crawley,William Kossack,6,2
2024-10-19,Andy Barnett,Jacob Marshall,6,3
2024-10-19,Steve Saxon,Blair Kirkcaldy,4,6
2024-10-19,Rob Bowen,Brenton Collier,6,3
2024-10-19,Ron Kelly,Scott Parker,6,2
2024-10-19,Luke Foster,Jay Windross,6,1
2024-10-19,Chris Beagley,Chris Davis,6,3
2024-10-19,Cale Barrett,Brendan Kantor,4,6
2024-10-19,Ben Foster,Joseph Rennie,6,1
2024-10-23,Stone Stenhouse,Nathan McMahon,7,3
2024-10-23,Michael Hayes,Macwin Fernandes,2,7
2024-10-23,Jayden Domeika,Brent Read,6,7
2024-10-23,Josh Gorski,Travis Crawley,4,7
2024-10-23,Andy Barnett,Blair Kirkcaldy,7,6
2024-10-23,Rob Bowen,Ron Kelly,6,7
2024-10-23,Luke Foster,Chris Beagley,7,6
2024-10-23,Brendan Kantor,Ben Foster,2,7
2024-10-24,Stone Stenhouse,Macwin Fernandes,8,1
2024-10-24,Brent Read,Travis Crawley,7,8
2024-10-24,Andy Barnett,Ron Kelly,8,6
2024-10-24,Luke Foster,Ben Foster,7,8
2024-10-24,Stone Stenhouse,Travis Crawley,1,9
2024-10-24,Andy Barnett,Ben Foster,4,9
2024-10-25,Travis Crawley,Ben Foster,4,10
