date,player_a,player_b,score_a,score_b
2023-01-15,Justin Sajich,Adam Grabish,5,1
2023-01-14,Richelle Dickson,Dene Heremaia,2,1
2023-01-14,Jason Finlay,Wayne Bishop,1,2
2023-01-14,Samuel Southwell,Helen Higgins,2,0
2023-01-14,Barbara Thomas,Devlen Brown,1,2
2023-01-14,Jack Schumann,Jase Cattermoul,0,2
2023-01-14,Craig Vandervegt,Stewart Holder,1,2
2023-01-14,Ben Middleton,Lucas Dinga,2,0
2023-01-14,Alana Wilmot,Mary Bock,0,2
2023-01-14,Brian Griffin,Ethan Hall,2,1
2023-01-14,Mark Doolan,Jake Hanrahan,2,0
2023-01-14,Daniel Mirfin,Tommy Punton,0,2
2023-01-14,Vince Lee,Billy Dwan,2,0
2023-01-14,Sophia Dacal,Aaron Watts,0,2
2023-01-14,Katie Alifrangis,Matt Talty,2,0
2023-01-14,Dayne Van Kempen,Blake Weaver,2,0
2023-01-14,Josh Cahill,George Bradford,0,2
2023-01-14,Mick Gray,Chris Sutton,1,2
2023-01-14,Tim Olsen,Angus Prior,2,0
2023-01-14,Gary Scarborough,Brett Broderick,0,2
2023-01-14,Sue McCord,Robert Hickfuss,2,0
2023-01-14,David Brown,Adam Power,1,2
2023-01-14,Mark Kunde,Karen Mudford,1,2
2023-01-14,Rob Williams,Marlon Jackson,2,3
2023-01-14,Andrew Talbot,Richelle Dickson,0,3
2023-01-14,James Hawley,Wayne Bishop,0,3
2023-01-14,Darron Wallace,Samuel Southwell,1,3
2023-01-14,Angeline Hall,Devlen Brown,3,1
2023-01-14,Maria Derma,Hayley Schopp,0,3
2023-01-14,Seb Thompson,Gavin Prior,1,3
2023-01-14,Peter Smith,Jase Cattermoul,3,1
2023-01-14,Luber Giraldo,Stewart Holder,3,0
2023-01-14,Bobbie Joe,Ben Middleton,2,3
2023-01-14,Andrew Grueff,Pauline Prior,3,0
2023-01-14,Mark McQueeney,Mary Bock,0,3
2023-01-14,Jay Windross,Shawn Hafemeister,3,1
2023-01-14,Clayton Moore,Brian Griffin,3,0
2023-01-14,Dylan Leevard,Mark Doolan,2,3
2023-01-14,Derek Stewart,Tommy Punton,2,3
2023-01-14,Brody Richards,Brendan Prior,3,2
2023-01-14,Ian Darcy,Vince Lee,0,3
2023-01-14,Troy Mottershead,Aaron Watts,3,0
2023-01-14,Michael Brent,Travis Speare,1,3
2023-01-14,Colin Williams,Katie Alifrangis,0,3
2023-01-14,Joshua Hands,Dayne Van Kempen,3,1
2023-01-14,Len Stein,George Bradford,3,1
