date,player_a,player_b,score_a,score_b
2023-10-18,Michael Cacciola,Simon Gray,1,0
2023-10-18,Alec Evreniadis,Nathan McMahon,1,0
2023-10-18,Dave Ewing,Clint Kappler,1,0
2023-10-18,Kane Weekley,Ben Judge,0,1
2023-10-18,Danyal Porter,Luke Anglesey,0,1
2023-10-18,Ian Hinton,Ben Foster,1,0
2023-10-18,Jayden Domeika,Steve Saxon,0,1
2023-10-18,Stacey Vine,Luke Foster,0,1
2023-10-18,Michael Cacciola,Ben Judge,1,0
2023-10-18,Alec Evreniadis,Clint Kappler,1,0
2023-10-18,Dave Ewing,Nathan McMahon,0,1
2023-10-18,Kane Weekley,Stone Stenhouse,1,0
2023-10-18,Danyal Porter,Luke Foster,0,1
2023-10-18,Ian Hinton,Steve Saxon,0,1
2023-10-18,Jayden Domeika,Ben Foster,0,1
2023-10-18,Stacey Vine,Luke Anglesey,1,0
2023-10-18,Michael Cacciola,Ben Foster,0,1
2023-10-18,Alec Evreniadis,Luke Anglesey,0,1
2023-10-18,Dave Ewing,Luke Foster,0,1
2023-10-18,Kane Weekley,Steve Saxon,0,1
2023-10-18,Danyal Porter,Nathan McMahon,1,0
2023-10-18,Ian Hinton,Stone Stenhouse,1,0
2023-10-18,Jayden Domeika,Ben Judge,1,0
2023-10-18,Stacey Vine,Clint Kappler,1,0
2023-10-18,Matt Harmon,Brett Broderick,1,0
2023-10-18,Phillip Thorp,Kyle Thomson,1,0
2023-10-18,Jakk Phillips,Macwin Fernandes,1,0
2023-10-18,Malachy McNeill,Morgan Evans,0,1
2023-10-18,Joseph Rennie,Brendan Kantor,0,1
2023-10-18,Colin Gamble,Josh Hands,1,0
2023-10-18,Dean Welsh,Andy Barnett,0,1
2023-10-18,Nathan Miller,Nick Pilat,0,1
2023-10-18,Matt Harmon,Morgan Evans,1,0
2023-10-18,Phillip Thorp,Craig Stevens,0,1
2023-10-18,Jakk Phillips,Kyle Thomson,1,0
2023-10-18,Matt Power,Brett Broderick,0,1
2023-10-18,Joseph Rennie,Nick Pilat,1,0
2023-10-18,Colin Gamble,Andy Barnett,0,1
2023-10-18,Dean Welsh,Josh Hands,0,1
2023-10-18,Nathan Miller,Brendan Kantor,0,1
2023-10-18,Matt Harmon,Macwin Fernandes,1,0
2023-10-18,Phillip Thorp,Brendan Kantor,0,1
2023-10-18,Jakk Phillips,Nick Pilat,0,1
2023-10-18,Matt Power,Andy Barnett,0,1
2023-10-18,Joseph Rennie,Kyle Thomson,0,1
2023-10-18,Colin Gamble,Brett Broderick,0,1
2023-10-18,Dean Welsh,Morgan Evans,0,1
2023-10-18,Malachy McNeill,Craig Stevens,0,1
2023-10-18,Jake McCartney,Blake Rawlings,1,0
2023-10-18,Marc Robertson,Keegan Reid,1,0
2023-10-18,Paull Clack,Cooper Denmen,1,0
2023-10-18,Rob Bowen,Blair Kirkcaldy,1,0
2023-10-18,Ben Nunan,Joe Watkins,1,0
2023-10-18,Sean Dempsey,Cale Barrett,1,0
2023-10-18,Michael Scerri,Jacob Marshall,0,1
2023-10-18,Gus Di Giorgio,Justin Stubbs,1,0
2023-10-18,Jake McCartney,Blair Kirkcaldy,1,0
2023-10-18,Marc Robertson,Cooper Denmen,0,1
2023-10-18,Paull Clack,Keegan Reid,1,0
2023-10-18,Rob Bowen,Blake Rawlings,1,0
2023-10-18,Ben Nunan,Justin Stubbs,1,0
2023-10-18,Sean Dempsey,Jacob Marshall,1,0
2023-10-18,Michael Scerri,Cale Barrett,0,1
2023-10-18,Gus Di Giorgio,Joe Watkins,1,0
2023-10-18,Jake McCartney,Cale Barrett,1,0
2023-10-18,Marc Robertson,Joe Watkins,1,0
2023-10-18,Paull Clack,Justin Stubbs,0,1
2023-10-18,Rob Bowen,Jacob Marshall,1,0
2023-10-18,Ben Nunan,Blake Marshall,1,0
2023-10-18,Sean Dempsey,Blake Rawlings,0,1
2023-10-18,Scott Parker,Blair Kirkcaldy,1,0
2023-10-18,Gus Di Giorgio,Cooper Denmen,1,0
2023-10-18,Justin Sajich,Trai Chan,0,1
2023-10-18,Dinesh Sookgreep,Ruel Dancel,0,1
2023-10-18,Rusty Wheeler,Daniel Graetz,1,0
2023-10-18,Greg Segal,Jason Kyranis,1,0
2023-10-18,Travis Crawley,Jason Yu,1,0
2023-10-18,Barry Kitchener Jnr,Chris Davis,1,0
2023-10-18,Brent Read,William Kossack,1,0
2023-10-18,Matthew Gartrell,Chris Beagley,1,0
2023-10-18,Justin Sajich,Jason Kyranis,1,0
2023-10-18,Dinesh Sookgreep,Daniel Graetz,1,0
2023-10-18,Rusty Wheeler,Ruel Dancel,1,0
2023-10-18,Greg Segal,Trai Chan,1,0
2023-10-18,Travis Crawley,Chris Beagley,1,0
2023-10-18,Barry Kitchener Jnr,William Kossack,1,0
2023-10-18,Brent Read,Chris Davis,1,0
2023-10-18,Matthew Gartrell,Jason Yu,0,1
2023-10-18,Justin Sajich,Chris Davis,0,1
2023-10-18,Dinesh Sookgreep,Jason Yu,1,0
2023-10-18,Rusty Wheeler,Chris Beagley,0,1
2023-10-18,Greg Segal,William Kossack,1,0
2023-10-18,Travis Crawley,Ruel Dancel,1,0
2023-10-18,Barry Kitchener Jnr,Trai Chan,0,1
2023-10-18,Brent Read,Jason Kyranis,1,0
2023-10-18,Ben Crawley,Daniel Graetz,0,1
2023-10-18,Cale Barrett,Michael Hayes,0,1
2023-10-18,Blake Marshall,Michael Cacciola,0,1
2023-10-18,Blair Kirkcaldy,Stacey Vine,1,0
2023-10-18,Blake Rawlings,Jayden Domeika,0,1
2023-10-18,Justin Stubbs,Ian Hinton,0,1
2023-10-18,Jacob Marshall,Alec Evreniadis,0,1
2023-10-18,Keegan Reid,Danyal Porter,0,1
2023-10-18,Cooper Denmen,Dave Ewing,1,0
2023-10-18,Cale Barrett,Jayden Domeika,1,0
2023-10-18,Blake Marshall,Stacey Vine,0,1
2023-10-18,Blair Kirkcaldy,Michael Cacciola,0,1
2023-10-18,Blake Rawlings,Michael Hayes,1,0
2023-10-18,Justin Stubbs,Dave Ewing,0,1
2023-10-18,Jacob Marshall,Danyal Porter,0,1
2023-10-18,Keegan Reid,Alec Evreniadis,0,1
2023-10-18,Cooper Denmen,Ian Hinton,1,0
2023-10-18,Cale Barrett,Alec Evreniadis,1,0
2023-10-18,Blake Marshall,Ian Hinton,0,1
2023-10-18,Blair Kirkcaldy,Dave Ewing,0,1
2023-10-18,Blake Rawlings,Danyal Porter,0,1
2023-10-18,Justin Stubbs,Michael Cacciola,1,0
2023-10-18,Joe Watkins,Michael Hayes,1,0
2023-10-18,Keegan Reid,Kane Weekley,0,1
2023-10-18,Cooper Denmen,Jeff Gluyas,0,1
2023-10-18,Ben Foster,Dinesh Sookgreep,1,0
2023-10-18,Luke Anglesey,Justin Sajich,1,0
2023-10-18,Luke Foster,Travis Crawley,1,0
2023-10-18,Nathan McMahon,Rusty Wheeler,0,1
2023-10-18,Stone Stenhouse,Brent Read,1,0
2023-10-18,Steve Saxon,Greg Segal,1,0
2023-10-18,Cedric Gonzales,Matthew Gartrell,1,0
2023-10-18,Simon Gray,Barry Kitchener Jnr,0,1
2023-10-18,Ben Foster,Rusty Wheeler,0,1
2023-10-18,Luke Anglesey,Travis Crawley,1,0
2023-10-18,Luke Foster,Justin Sajich,1,0
2023-10-18,Nathan McMahon,Ben Crawley,1,0
2023-10-18,Stone Stenhouse,Barry Kitchener Jnr,0,1
2023-10-18,Steve Saxon,Matthew Gartrell,1,0
2023-10-18,Cedric Gonzales,Greg Segal,1,0
2023-10-18,Simon Gray,Brent Read,1,0
2023-10-18,Ben Foster,Greg Segal,1,0
2023-10-18,Luke Anglesey,Brent Read,0,1
2023-10-18,Luke Foster,Barry Kitchener Jnr,1,0
2023-10-18,Nathan McMahon,Matthew Gartrell,1,0
2023-10-18,Clint Kappler,Justin Sajich,0,1
2023-10-18,Ben Judge,Ben Crawley,0,1
2023-10-18,Cedric Gonzales,Rusty Wheeler,0,1
2023-10-18,Simon Gray,Dinesh Sookgreep,1,0
2023-10-18,Chris Davis,Phillip Thorp,1,0
2023-10-18,Jason Yu,Matt Harmon,0,1
2023-10-18,Chris Beagley,Nathan Miller,0,1
2023-10-18,Trai Chan,Malachy McNeill,1,0
2023-10-18,Ruel Dancel,Joseph Rennie,0,1
2023-10-18,Jason Kyranis,Colin Gamble,0,1
2023-10-18,William Kossack,Dean Welsh,0,1
2023-10-18,Daniel Graetz,Jakk Phillips,0,1
2023-10-18,Chris Davis,Malachy McNeill,1,0
2023-10-18,Jason Yu,Nathan Miller,1,0
2023-10-18,Chris Beagley,Matt Harmon,1,0
2023-10-18,Trai Chan,Matt Power,1,0
2023-10-18,Ruel Dancel,Jakk Phillips,0,1
2023-10-18,Jason Kyranis,Dean Welsh,0,1
2023-10-18,William Kossack,Colin Gamble,1,0
2023-10-18,Daniel Graetz,Joseph Rennie,0,1
2023-10-18,Chris Davis,Colin Gamble,1,0
2023-10-18,Jason Yu,Joseph Rennie,1,0
2023-10-18,Chris Beagley,Jakk Phillips,0,1
2023-10-18,Trai Chan,Dean Welsh,0,1
2023-10-18,Ruel Dancel,Matt Harmon,1,0
2023-10-18,Jason Kyranis,Matt Power,0,1
2023-10-18,William Kossack,Phillip Thorp,1,0
2023-10-18,Daniel Graetz,Nathan Miller,0,1
2023-10-18,Craig Stevens,Gus Di Giorgio,1,0
2023-10-18,Brett Broderick,Rob Bowen,1,0
2023-10-18,Macwin Fernandes,Ben Nunan,1,0
2023-10-18,Morgan Evans,Jake McCartney,0,1
2023-10-18,Brendan Kantor,Sean Dempsey,1,0
2023-10-18,Josh Hands,Marc Robertson,1,0
2023-10-18,Nick Pilat,Travis Martin,0,1
2023-10-18,Andy Barnett,Scott Parker,1,0
2023-10-18,Craig Stevens,Jake McCartney,0,1
2023-10-18,Kyle Thomson,Paull Clack,1,0
2023-10-18,Macwin Fernandes,Rob Bowen,1,0
2023-10-18,Morgan Evans,Gus Di Giorgio,0,1
2023-10-18,Brendan Kantor,Scott Parker,0,1
2023-10-18,Josh Hands,Travis Martin,0,1
2023-10-18,Nick Pilat,Marc Robertson,0,1
2023-10-18,Andy Barnett,Michael Scerri,1,0
2023-10-18,Craig Stevens,Marc Robertson,0,1
2023-10-18,Kyle Thomson,Michael Scerri,0,1
2023-10-18,Macwin Fernandes,Scott Parker,1,0
2023-10-18,Brett Broderick,Travis Martin,0,1
2023-10-18,Brendan Kantor,Ben Nunan,1,0
2023-10-18,Josh Hands,Gus Di Giorgio,0,1
2023-10-18,Nick Pilat,Jake McCartney,0,1
2023-10-18,Andy Barnett,Paull Clack,0,1
2023-10-19,Matt Harmon,Matthew Gartrell,1,0
2023-10-19,Joseph Rennie,Rusty Wheeler,1,0
2023-10-19,Dean Welsh,Ben Crawley,0,1
2023-10-19,Jakk Phillips,Barry Kitchener Jnr,0,1
2023-10-19,Matt Power,Brent Read,0,1
2023-10-19,Phillip Thorp,Travis Crawley,0,1
2023-10-19,Colin Gamble,Dinesh Sookgreep,1,0
2023-10-19,Nathan Miller,Justin Sajich,0,1
2023-10-19,Matt Harmon,Barry Kitchener Jnr,0,1
2023-10-19,Joseph Rennie,Ben Crawley,1,0
2023-10-19,Dean Welsh,Rusty Wheeler,0,1
2023-10-19,Jakk Phillips,Greg Segal,0,1
2023-10-19,Matt Power,Justin Sajich,1,0
2023-10-19,Malachy McNeill,Dinesh Sookgreep,1,0
2023-10-19,Colin Gamble,Travis Crawley,1,0
2023-10-19,Nathan Miller,Brent Read,1,0
2023-10-19,Matt Harmon,Travis Crawley,1,0
2023-10-19,Joseph Rennie,Brent Read,0,1
2023-10-19,Phillip Thorp,Justin Sajich,1,0
2023-10-19,Jakk Phillips,Matthew Gartrell,0,1
2023-10-19,Matt Power,Rusty Wheeler,0,1
2023-10-19,Malachy McNeill,Greg Segal,1,0
2023-10-19,Colin Gamble,Barry Kitchener Jnr,0,1
2023-10-19,Nathan Miller,Ben Crawley,1,0
2023-10-19,Michael Cacciola,Craig Stevens,1,0
2023-10-19,Alec Evreniadis,Kyle Thomson,1,0
2023-10-19,Dave Ewing,Morgan Evans,0,1
2023-10-19,Jeff Gluyas,Macwin Fernandes,0,1
2023-10-19,Danyal Porter,Josh Hands,1,0
2023-10-19,Ian Hinton,Brendan Kantor,0,1
2023-10-19,Jayden Domeika,Nick Pilat,1,0
2023-10-19,Stacey Vine,Brett Broderick,0,1
2023-10-19,Michael Cacciola,Macwin Fernandes,0,1
2023-10-19,Alec Evreniadis,Morgan Evans,0,1
2023-10-19,Dave Ewing,Kyle Thomson,1,0
2023-10-19,Jeff Gluyas,Craig Stevens,1,0
2023-10-19,Danyal Porter,Brett Broderick,1,0
2023-10-19,Ian Hinton,Andy Barnett,0,1
2023-10-19,Jayden Domeika,Brendan Kantor,1,0
2023-10-19,Stacey Vine,Josh Hands,1,0
2023-10-19,Michael Cacciola,Brendan Kantor,1,0
2023-10-19,Alec Evreniadis,Nick Pilat,1,0
2023-10-19,Dave Ewing,Brett Broderick,0,1
2023-10-19,Jeff Gluyas,Andy Barnett,0,1
2023-10-19,Danyal Porter,Kyle Thomson,1,0
2023-10-19,Kane Weekley,Craig Stevens,0,1
2023-10-19,Jayden Domeika,Macwin Fernandes,1,0
2023-10-19,Stacey Vine,Morgan Evans,0,1
2023-10-19,Cale Barrett,Cedric Gonzales,1,0
2023-10-19,Joe Watkins,Nathan McMahon,0,1
2023-10-19,Blair Kirkcaldy,Clint Kappler,0,1
2023-10-19,Blake Rawlings,Stone Stenhouse,0,1
2023-10-19,Justin Stubbs,Luke Anglesey,1,0
2023-10-19,Jacob Marshall,Ben Foster,0,1
2023-10-19,Keegan Reid,Steve Saxon,0,1
2023-10-19,Cooper Denmen,Luke Foster,0,1
2023-10-19,Cale Barrett,Stone Stenhouse,0,1
2023-10-19,Joe Watkins,Clint Kappler,1,0
2023-10-19,Blair Kirkcaldy,Nathan McMahon,1,0
2023-10-19,Blake Rawlings,Cedric Gonzales,1,0
2023-10-19,Justin Stubbs,Luke Foster,0,1
2023-10-19,Jacob Marshall,Steve Saxon,1,0
2023-10-19,Keegan Reid,Ben Foster,0,1
2023-10-19,Cooper Denmen,Luke Anglesey,0,1
2023-10-19,Cale Barrett,Ben Foster,0,1
2023-10-19,Joe Watkins,Simon Gray,0,1
2023-10-19,Blair Kirkcaldy,Luke Foster,0,1
2023-10-19,Blake Rawlings,Steve Saxon,0,1
2023-10-19,Justin Stubbs,Nathan McMahon,1,0
2023-10-19,Jacob Marshall,Ben Judge,0,1
2023-10-19,Keegan Reid,Stone Stenhouse,1,0
2023-10-19,Blake Marshall,Clint Kappler,0,1
2023-10-19,Jake McCartney,Trai Chan,1,0
2023-10-19,Marc Robertson,Ruel Dancel,1,0
2023-10-19,Paull Clack,Daniel Graetz,1,0
2023-10-19,Scott Parker,Jason Kyranis,1,0
2023-10-19,Ben Nunan,Jason Yu,0,1
2023-10-19,Michael Scerri,Chris Davis,0,1
2023-10-19,Travis Martin,William Kossack,1,0
2023-10-19,Gus Di Giorgio,Chris Beagley,0,1
2023-10-19,Jake McCartney,Jason Kyranis,1,0
